Time,Channel A,Channel B
(ms),(V),(V)

7.86028134,2.71477400,0.95339820
7.88076134,2.71477400,1.04342800
7.90124134,2.71477400,1.13376300
7.92172134,2.66945400,1.22379200
7.94220134,2.66945400,1.22379200
7.96268134,2.62428700,1.31412700
7.98316134,2.62428700,1.31412700
8.00364134,2.57896700,1.31412700
8.02412134,2.53379900,1.40446200
8.04460134,2.53379900,1.49449100
8.06508134,2.53379900,1.49449100
8.08556134,2.53379900,1.58482600
8.10604134,2.44331200,1.58482600
8.12652134,2.44331200,1.67516100
8.14700134,2.44331200,1.67516100
8.16748134,2.39799200,1.76519100
8.18796134,2.39799200,1.85552500
8.20844134,2.35282400,1.85552500
8.22892134,2.35282400,1.85552500
8.24940134,2.30750400,1.94555500
8.26988134,2.30750400,1.94555500
8.29036134,2.26218500,2.03589000
8.31084134,2.26218500,2.03589000
8.33132134,2.21701700,2.12622500
8.35180134,2.17169700,2.12622500
8.37228134,2.17169700,2.21625400
8.39276134,2.17169700,2.21625400
8.41324134,2.12653000,2.30658900
8.43372134,2.08121000,2.30658900
8.45420134,2.08121000,2.39692400
8.47468134,2.03604200,2.39692400
8.49516134,2.03604200,2.39692400
8.51564134,1.99072200,2.48695300
8.53612134,1.99072200,2.48695300
8.55660134,1.94540200,2.57728800
8.57708134,1.90023500,2.57728800
8.59756134,1.90023500,2.66731800
8.61804134,1.85491500,2.66731800
8.63852134,1.85491500,2.66731800
8.65900134,1.80974800,2.75765300
8.67948134,1.80974800,2.75765300
8.69996134,1.76442800,2.75765300
8.72044134,1.76442800,2.84798700
8.74092134,1.71926000,2.93801700
8.76140134,1.71926000,2.93801700
8.78188134,1.67394000,3.02835200
8.80236134,1.67394000,3.02835200
8.82284134,1.62877300,3.02835200
8.84332134,1.58345300,3.11868600
8.86380133,1.58345300,3.20871600
8.88428133,1.53813300,3.20871600
8.90476133,1.53813300,3.29905100
8.92524133,1.49296500,3.29905100
8.94572133,1.49296500,3.29905100
8.96620133,1.44764600,3.38908100
8.98668133,1.44764600,3.47941500
9.00716133,1.40247800,3.47941500
9.02764133,1.35715800,3.47941500
9.04812133,1.31199100,3.47941500
9.06860133,1.31199100,3.47941500
9.08908133,1.26667100,3.56975000
9.10956133,1.26667100,3.65978000
9.13004133,1.22135100,3.65978000
9.15052133,1.17618300,3.65978000
9.17100133,1.17618300,3.75011400
9.19148133,1.13086300,3.75011400
9.21196133,1.08569600,3.75011400
9.23244133,1.08569600,3.84044900
9.25292133,1.08569600,3.84044900
9.27340133,1.04037600,3.84044900
9.29388133,0.99520860,3.84044900
9.31436133,0.99520860,3.93047900
9.33484133,0.94988860,4.02081300
9.35532133,0.90472120,4.02081300
9.37580133,0.90472120,4.02081300
9.39628133,0.85940120,4.11084300
9.41676133,0.81408130,4.11084300
9.43724133,0.81408130,4.11084300
9.45772133,0.81408130,4.20117800
9.47820133,0.76891390,4.20117800
9.49868133,0.72359380,4.20117800
9.51916133,0.72359380,4.20117800
9.53964133,0.67842640,4.29151300
9.56012133,0.63310650,4.29151300
9.58060133,0.63310650,4.38154200
9.60108133,0.58793910,4.29151300
9.62156133,0.54261910,4.38154200
9.64204133,0.54261910,4.38154200
